	treatment	region
BN009	control	cortex LCM
BN037	control	cortex LCM
BN041	control	cortex LCM
BN025	iAKI	cortex LCM
BN029	iAKI	cortex LCM
BN033	iAKI	cortex LCM
BN013	pAKI	cortex LCM
BN017	pAKI	cortex LCM
BN021	pAKI	cortex LCM
BN045	pAKI	cortex LCM
BN049	pAKI	cortex LCM
BK001	control	Glomerulus LCM
BK002	control	Glomerulus LCM
BK005	iAKI	Glomerulus LCM
BK006	iAKI	Glomerulus LCM
BK007	pAKI	Glomerulus LCM
BK009	pAKI	Glomerulus LCM
BN010	control	iSOM LCM
BN038	control	iSOM LCM
BN042	control	iSOM LCM
BN026	iAKI	iSOM LCM
BN030	iAKI	iSOM LCM
BN034	iAKI	iSOM LCM
BN014	pAKI	iSOM LCM
BN018	pAKI	iSOM LCM
BN022	pAKI	iSOM LCM
BN046	pAKI	iSOM LCM
BN050	pAKI	iSOM LCM
BN011	control	OSOM LCM
BN039	control	OSOM LCM
BN043	control	OSOM LCM
BN027	iAKI	OSOM LCM
BN031	iAKI	OSOM LCM
BN035	iAKI	OSOM LCM
BN015	pAKI	OSOM LCM
BN019	pAKI	OSOM LCM
BN023	pAKI	OSOM LCM
BN047	pAKI	OSOM LCM
BN051	pAKI	OSOM LCM
BN012	control	whole kidney
BN040	control	whole kidney
BN044	control	whole kidney
BN028	iAKI	whole kidney
BN032	iAKI	whole kidney
BN036	iAKI	whole kidney
BN016	pAKI	whole kidney
BN020	pAKI	whole kidney
BN024	pAKI	whole kidney
BN048	pAKI	whole kidney
BN052	pAKI	whole kidney